test_id,user_id,date,session_type,category,sex,experience,bw_lb,step,lift,weight_lb,sets,reps,target_rpe,decision,tier,rel_strength,reason,adj
U901-wk02-FB_B-01,U901,2026-03-17,FB_B,progression,male,beginner,169.9,2.5,ohp,92.5,3,5,7.5,hold,,,conservative_hold_after_miss_or_high_rpe,none
U901-wk02-FB_A-02,U901,2026-03-19,FB_A,progression,male,beginner,170.1,2.5,squat,127.5,3,5,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U901-wk02-FB_A-02,U901,2026-03-19,FB_A,progression,male,beginner,170.1,2.5,bench,95.0,3,5,7.5,hold,base,0.651,conservative_hold_until_easy_success_margin,none
U901-wk03-FB_A-00,U901,2026-03-22,FB_A,progression,male,beginner,170.4,2.5,squat,127.5,3,5,7.5,hold,,,conservative_hold_after_miss_or_high_rpe,none
U901-wk03-FB_A-00,U901,2026-03-22,FB_A,progression,male,beginner,170.4,2.5,bench,95.0,3,5,7.5,hold,base,0.651,conservative_hold_until_easy_success_margin,none
U901-wk03-FB_B-01,U901,2026-03-24,FB_B,progression,male,beginner,170.8,2.5,deadlift,150.0,1,5,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U901-wk03-FB_B-01,U901,2026-03-24,FB_B,progression,male,beginner,170.8,2.5,ohp,92.5,3,5,7.5,hold,base,0.632,conservative_hold_until_easy_success_margin,none
U901-wk03-FB_A-02,U901,2026-03-26,FB_A,progression,male,beginner,170.2,2.5,squat,127.5,3,5,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U901-wk03-FB_A-02,U901,2026-03-26,FB_A,progression,male,beginner,170.2,2.5,bench,95.0,3,5,7.5,hold,base,0.651,conservative_hold_until_easy_success_margin,none
U901-wk04-FB_A-00,U901,2026-03-29,FB_A,progression,male,beginner,171.7,2.5,squat,120.0,3,5,7.5,decrease_small,,,readiness_low_cut_5pct_conservative,readinessCut
U901-wk04-FB_A-00,U901,2026-03-29,FB_A,progression,male,beginner,171.7,2.5,bench,90.0,3,5,7.5,decrease_small,,,readiness_low_cut_5pct_conservative,readinessCut
U901-wk04-FB_B-01,U901,2026-03-31,FB_B,progression,male,beginner,171.5,2.5,deadlift,142.5,1,5,7.5,decrease_small,,,readiness_low_cut_5pct_conservative,readinessCut
U901-wk04-FB_B-01,U901,2026-03-31,FB_B,progression,male,beginner,171.5,2.5,ohp,87.5,3,5,7.5,decrease_small,,,readiness_low_cut_5pct_conservative,readinessCut
U901-wk04-FB_A-02,U901,2026-04-02,FB_A,progression,male,beginner,170.9,2.5,squat,115.0,3,5,7.5,decrease_small,,,readiness_low_cut_5pct_conservative,readinessCut
U901-wk04-FB_A-02,U901,2026-04-02,FB_A,progression,male,beginner,170.9,2.5,bench,85.0,3,5,7.5,decrease_small,,,readiness_low_cut_5pct_conservative,readinessCut
U901-wk05-FB_A-00,U901,2026-04-05,FB_A,progression,male,beginner,172.0,2.5,squat,115.0,3,5,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U901-wk05-FB_A-00,U901,2026-04-05,FB_A,progression,male,beginner,172.0,2.5,bench,85.0,3,5,7.5,hold,base,0.577,conservative_hold_until_easy_success_margin,none
U901-wk05-FB_B-01,U901,2026-04-07,FB_B,progression,male,beginner,171.1,2.5,deadlift,142.5,1,5,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U901-wk05-FB_B-01,U901,2026-04-07,FB_B,progression,male,beginner,171.1,2.5,ohp,87.5,3,5,7.5,hold,base,0.596,conservative_hold_until_easy_success_margin,none
U901-wk05-FB_A-02,U901,2026-04-09,FB_A,progression,male,beginner,171.6,2.5,squat,115.0,3,5,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U901-wk05-FB_A-02,U901,2026-04-09,FB_A,progression,male,beginner,171.6,2.5,bench,85.0,3,5,7.5,hold,base,0.578,conservative_hold_until_easy_success_margin,none
U901-wk06-FB_A-00,U901,2026-04-12,FB_A,progression,male,beginner,172.4,2.5,squat,115.0,3,5,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U901-wk06-FB_A-00,U901,2026-04-12,FB_A,progression,male,beginner,172.4,2.5,bench,85.0,3,5,7.5,hold,,,conservative_hold_after_miss_or_high_rpe,none
U901-wk06-FB_B-01,U901,2026-04-14,FB_B,progression,male,beginner,171.2,2.5,deadlift,142.5,1,5,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U901-wk06-FB_B-01,U901,2026-04-14,FB_B,progression,male,beginner,171.2,2.5,ohp,87.5,3,5,7.5,hold,,,conservative_hold_after_miss_or_high_rpe,none
U901-wk06-FB_A-02,U901,2026-04-16,FB_A,progression,male,beginner,172.3,2.5,squat,115.0,3,5,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U901-wk06-FB_A-02,U901,2026-04-16,FB_A,progression,male,beginner,172.3,2.5,bench,85.0,3,5,7.5,hold,base,0.576,conservative_hold_until_easy_success_margin,none
U901-wk07-FB_A-00,U901,2026-04-19,FB_A,progression,male,beginner,171.8,2.5,squat,115.0,3,5,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U901-wk07-FB_A-00,U901,2026-04-19,FB_A,progression,male,beginner,171.8,2.5,bench,85.0,3,5,7.5,hold,,,conservative_hold_after_miss_or_high_rpe,none
U901-wk07-FB_B-01,U901,2026-04-21,FB_B,progression,male,beginner,172.2,2.5,deadlift,142.5,1,5,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U901-wk07-FB_B-01,U901,2026-04-21,FB_B,progression,male,beginner,172.2,2.5,ohp,90.0,3,5,7.5,increase,base,0.593,conservative_increase_only_if_easy_success,none
U901-wk07-FB_A-02,U901,2026-04-23,FB_A,progression,male,beginner,171.6,2.5,squat,115.0,3,5,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U901-wk07-FB_A-02,U901,2026-04-23,FB_A,progression,male,beginner,171.6,2.5,bench,85.0,3,5,7.5,hold,base,0.578,conservative_hold_until_easy_success_margin,none
U901-wk08-FB_A-00,U901,2026-04-26,FB_A,progression,male,beginner,172.6,2.5,squat,115.0,3,5,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U901-wk08-FB_A-00,U901,2026-04-26,FB_A,progression,male,beginner,172.6,2.5,bench,85.0,3,5,7.5,hold,base,0.575,conservative_hold_until_easy_success_margin,none
U901-wk08-FB_B-01,U901,2026-04-28,FB_B,progression,male,beginner,172.2,2.5,deadlift,142.5,1,5,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U901-wk08-FB_B-01,U901,2026-04-28,FB_B,progression,male,beginner,172.2,2.5,ohp,90.0,3,5,7.5,hold,,,conservative_hold_after_miss_or_high_rpe,none
U901-wk08-FB_A-02,U901,2026-04-30,FB_A,progression,male,beginner,172.3,2.5,squat,115.0,3,5,7.5,hold,,,conservative_hold_after_miss_or_high_rpe,none
U901-wk08-FB_A-02,U901,2026-04-30,FB_A,progression,male,beginner,172.3,2.5,bench,85.0,3,5,7.5,hold,base,0.576,conservative_hold_until_easy_success_margin,none
U901-wk09-FB_A-00,U901,2026-05-03,FB_A,progression,male,beginner,173.0,2.5,squat,102.5,2,5,7.0,deload,,,planned_deload_10pct_load_1set_cut,deload
U901-wk09-FB_A-00,U901,2026-05-03,FB_A,progression,male,beginner,173.0,2.5,bench,77.5,2,5,7.0,deload,,,planned_deload_10pct_load_1set_cut,deload
U901-wk09-FB_B-01,U901,2026-05-05,FB_B,progression,male,beginner,172.9,2.5,deadlift,127.5,1,5,7.0,deload,,,planned_deload_10pct_load_1set_cut,deload
U901-wk09-FB_B-01,U901,2026-05-05,FB_B,progression,male,beginner,172.9,2.5,ohp,80.0,2,5,7.0,deload,,,planned_deload_10pct_load_1set_cut,deload
U901-wk09-FB_A-02,U901,2026-05-07,FB_A,progression,male,beginner,173.2,2.5,squat,92.5,2,5,7.0,deload,,,planned_deload_10pct_load_1set_cut,deload
U901-wk09-FB_A-02,U901,2026-05-07,FB_A,progression,male,beginner,173.2,2.5,bench,70.0,2,5,7.0,deload,,,planned_deload_10pct_load_1set_cut,deload
U902-wk00-UPPER-00,U902,2026-04-10,UPPER,progression,female,intermediate,137.5,1.25,bench,96.25,4,6,8.0,hold,,,cold_start_conservative_estimate,none
U902-wk00-UPPER-00,U902,2026-04-10,UPPER,progression,female,intermediate,137.5,1.25,ohp,96.25,3,6,8.0,hold,,,cold_start_conservative_estimate,none
U902-wk00-UPPER-00,U902,2026-04-10,UPPER,progression,female,intermediate,137.5,1.25,lateral_raise,13.75,3,12,7.5,hold,,,cold_start_conservative_estimate,none
U902-wk00-LOWER-01,U902,2026-04-12,LOWER,progression,female,intermediate,138.3,10.0,hack_squat,130.0,4,8,7.5,hold,,,cold_start_conservative_estimate,none
U902-wk00-UPPER-02,U902,2026-04-14,UPPER,progression,female,intermediate,138.0,1.25,bench,96.25,4,6,8.0,hold,medium,0.837,conservative_hold_until_easy_success_margin,none
U902-wk00-UPPER-02,U902,2026-04-14,UPPER,progression,female,intermediate,138.0,1.25,ohp,96.25,3,6,8.0,hold,high,0.837,conservative_hold_until_easy_success_margin,none
U902-wk00-UPPER-02,U902,2026-04-14,UPPER,progression,female,intermediate,138.0,1.25,lateral_raise,13.75,3,13,7.5,hold,,,isolation_double_progression_add_rep_first,none
U902-wk00-LOWER-03,U902,2026-04-16,LOWER,progression,female,intermediate,137.6,10.0,hack_squat,130.0,4,8,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U902-wk01-UPPER-00,U902,2026-04-19,UPPER,progression,female,intermediate,137.7,1.25,bench,96.25,4,6,8.0,hold,medium,0.839,conservative_hold_until_easy_success_margin,none
U902-wk01-UPPER-00,U902,2026-04-19,UPPER,progression,female,intermediate,137.7,1.25,ohp,96.25,3,6,8.0,hold,high,0.839,conservative_hold_until_easy_success_margin,none
U902-wk01-UPPER-00,U902,2026-04-19,UPPER,progression,female,intermediate,137.7,1.25,lateral_raise,13.75,3,14,7.5,hold,,,isolation_double_progression_add_rep_first,none
U902-wk01-LOWER-01,U902,2026-04-21,LOWER,progression,female,intermediate,137.8,10.0,hack_squat,130.0,4,8,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U902-wk01-UPPER-02,U902,2026-04-23,UPPER,progression,female,intermediate,137.6,1.25,bench,96.25,4,6,8.0,hold,medium,0.84,conservative_hold_until_easy_success_margin,none
U902-wk01-UPPER-02,U902,2026-04-23,UPPER,progression,female,intermediate,137.6,1.25,ohp,96.25,3,6,8.0,hold,high,0.84,conservative_hold_until_easy_success_margin,none
U902-wk01-UPPER-02,U902,2026-04-23,UPPER,progression,female,intermediate,137.6,1.25,lateral_raise,13.75,3,12,7.5,hold,,,conservative_hold_after_miss_or_high_rpe,none
U902-wk01-LOWER-03,U902,2026-04-25,LOWER,progression,female,intermediate,138.1,10.0,hack_squat,130.0,4,8,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U902-wk02-UPPER-00,U902,2026-04-28,UPPER,progression,female,intermediate,138.6,1.25,bench,96.25,4,6,8.0,hold,medium,0.833,conservative_hold_until_easy_success_margin,none
U902-wk02-UPPER-00,U902,2026-04-28,UPPER,progression,female,intermediate,138.6,1.25,ohp,96.25,3,6,8.0,hold,high,0.833,conservative_hold_until_easy_success_margin,none
U902-wk02-UPPER-00,U902,2026-04-28,UPPER,progression,female,intermediate,138.6,1.25,lateral_raise,13.75,3,13,7.5,hold,,,isolation_double_progression_add_rep_first,none
U902-wk02-LOWER-01,U902,2026-04-30,LOWER,progression,female,intermediate,137.7,10.0,hack_squat,130.0,4,8,7.5,hold,,,conservative_hold_after_miss_or_high_rpe,none
U902-wk02-UPPER-02,U902,2026-05-02,UPPER,progression,female,intermediate,138.4,1.25,bench,96.25,4,6,8.0,hold,medium,0.834,conservative_hold_until_easy_success_margin,none
U902-wk02-UPPER-02,U902,2026-05-02,UPPER,progression,female,intermediate,138.4,1.25,ohp,96.25,3,6,8.0,hold,high,0.834,conservative_hold_until_easy_success_margin,none
U902-wk02-UPPER-02,U902,2026-05-02,UPPER,progression,female,intermediate,138.4,1.25,lateral_raise,13.75,3,14,7.5,hold,,,isolation_double_progression_add_rep_first,none
U902-wk02-LOWER-03,U902,2026-05-04,LOWER,progression,female,intermediate,137.3,10.0,hack_squat,130.0,4,8,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U902-wk03-UPPER-00,U902,2026-05-07,UPPER,progression,female,intermediate,138.5,1.25,bench,96.25,4,6,8.0,hold,medium,0.834,conservative_hold_until_easy_success_margin,none
U902-wk03-UPPER-00,U902,2026-05-07,UPPER,progression,female,intermediate,138.5,1.25,ohp,96.25,3,6,8.0,hold,high,0.834,conservative_hold_until_easy_success_margin,none
U902-wk03-UPPER-00,U902,2026-05-07,UPPER,progression,female,intermediate,138.5,1.25,lateral_raise,13.75,3,15,7.5,hold,,,isolation_double_progression_add_rep_first,none
U902-wk03-LOWER-01,U902,2026-05-09,LOWER,progression,female,intermediate,138.0,10.0,hack_squat,130.0,4,8,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U902-wk03-UPPER-02,U902,2026-05-11,UPPER,progression,female,intermediate,138.2,1.25,bench,96.25,4,6,8.0,hold,,,conservative_hold_after_miss_or_high_rpe,none
U902-wk03-UPPER-02,U902,2026-05-11,UPPER,progression,female,intermediate,138.2,1.25,ohp,96.25,3,6,8.0,hold,high,0.836,conservative_hold_until_easy_success_margin,none
U902-wk03-UPPER-02,U902,2026-05-11,UPPER,progression,female,intermediate,138.2,1.25,lateral_raise,13.75,3,16,7.5,hold,,,isolation_double_progression_add_rep_first,none
U902-wk03-LOWER-03,U902,2026-05-13,LOWER,progression,female,intermediate,137.3,10.0,hack_squat,130.0,4,8,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U902-wk04-UPPER-00,U902,2026-05-16,UPPER,progression,female,intermediate,138.2,1.25,bench,96.25,4,6,8.0,hold,medium,0.836,conservative_hold_until_easy_success_margin,none
U902-wk04-UPPER-00,U902,2026-05-16,UPPER,progression,female,intermediate,138.2,1.25,ohp,96.25,3,6,8.0,hold,high,0.836,conservative_hold_until_easy_success_margin,none
U902-wk04-UPPER-00,U902,2026-05-16,UPPER,progression,female,intermediate,138.2,1.25,lateral_raise,13.75,3,17,7.5,hold,,,isolation_double_progression_add_rep_first,none
U902-wk04-LOWER-01,U902,2026-05-18,LOWER,progression,female,intermediate,137.8,10.0,hack_squat,130.0,4,8,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U902-wk04-UPPER-02,U902,2026-05-20,UPPER,progression,female,intermediate,137.4,1.25,bench,96.25,4,6,8.0,hold,medium,0.841,conservative_hold_until_easy_success_margin,none
U902-wk04-UPPER-02,U902,2026-05-20,UPPER,progression,female,intermediate,137.4,1.25,ohp,96.25,3,6,8.0,hold,high,0.841,conservative_hold_until_easy_success_margin,none
U902-wk04-UPPER-02,U902,2026-05-20,UPPER,progression,female,intermediate,137.4,1.25,lateral_raise,13.75,3,12,7.5,hold,,,conservative_hold_after_miss_or_high_rpe,none
U902-wk04-LOWER-03,U902,2026-05-22,LOWER,progression,female,intermediate,138.5,10.0,hack_squat,130.0,4,8,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U902-wk05-UPPER-00,U902,2026-05-25,UPPER,progression,female,intermediate,137.9,1.25,bench,96.25,4,6,8.0,hold,medium,0.838,conservative_hold_until_easy_success_margin,none
U902-wk05-UPPER-00,U902,2026-05-25,UPPER,progression,female,intermediate,137.9,1.25,ohp,96.25,3,6,8.0,hold,high,0.838,conservative_hold_until_easy_success_margin,none
U902-wk05-UPPER-00,U902,2026-05-25,UPPER,progression,female,intermediate,137.9,1.25,lateral_raise,13.75,3,13,7.5,hold,,,isolation_double_progression_add_rep_first,none
U902-wk05-LOWER-01,U902,2026-05-27,LOWER,progression,female,intermediate,137.7,10.0,hack_squat,130.0,4,8,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U902-wk05-UPPER-02,U902,2026-05-29,UPPER,progression,female,intermediate,138.6,1.25,bench,96.25,4,6,8.0,hold,medium,0.833,conservative_hold_until_easy_success_margin,none
U902-wk05-UPPER-02,U902,2026-05-29,UPPER,progression,female,intermediate,138.6,1.25,ohp,96.25,3,6,8.0,hold,high,0.833,conservative_hold_until_easy_success_margin,none
U902-wk05-UPPER-02,U902,2026-05-29,UPPER,progression,female,intermediate,138.6,1.25,lateral_raise,13.75,3,14,7.5,hold,,,isolation_double_progression_add_rep_first,none
U902-wk05-LOWER-03,U902,2026-05-31,LOWER,progression,female,intermediate,138.1,10.0,hack_squat,130.0,4,8,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U902-wk06-UPPER-00,U902,2026-06-03,UPPER,progression,female,intermediate,138.2,1.25,bench,96.25,4,6,8.0,hold,medium,0.836,conservative_hold_until_easy_success_margin,none
U902-wk06-UPPER-00,U902,2026-06-03,UPPER,progression,female,intermediate,138.2,1.25,ohp,96.25,3,6,8.0,hold,,,conservative_hold_after_miss_or_high_rpe,none
U902-wk06-UPPER-00,U902,2026-06-03,UPPER,progression,female,intermediate,138.2,1.25,lateral_raise,13.75,3,12,7.5,hold,,,conservative_hold_after_miss_or_high_rpe,none
U902-wk06-LOWER-01,U902,2026-06-05,LOWER,progression,female,intermediate,137.8,10.0,hack_squat,130.0,4,8,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U902-wk06-UPPER-02,U902,2026-06-07,UPPER,progression,female,intermediate,138.3,1.25,bench,96.25,4,6,8.0,hold,medium,0.835,conservative_hold_until_easy_success_margin,none
U902-wk06-UPPER-02,U902,2026-06-07,UPPER,progression,female,intermediate,138.3,1.25,ohp,96.25,3,6,8.0,hold,high,0.835,conservative_hold_until_easy_success_margin,none
U902-wk06-UPPER-02,U902,2026-06-07,UPPER,progression,female,intermediate,138.3,1.25,lateral_raise,13.75,3,12,7.5,hold,,,conservative_hold_after_miss_or_high_rpe,none
U902-wk06-LOWER-03,U902,2026-06-09,LOWER,progression,female,intermediate,137.5,10.0,hack_squat,130.0,4,8,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U902-wk07-UPPER-00,U902,2026-06-12,UPPER,progression,female,intermediate,138.3,1.25,bench,96.25,4,6,8.0,hold,medium,0.835,conservative_hold_until_easy_success_margin,none
U902-wk07-UPPER-00,U902,2026-06-12,UPPER,progression,female,intermediate,138.3,1.25,ohp,96.25,3,6,8.0,hold,high,0.835,conservative_hold_until_easy_success_margin,none
U902-wk07-UPPER-00,U902,2026-06-12,UPPER,progression,female,intermediate,138.3,1.25,lateral_raise,13.75,3,12,7.5,hold,,,conservative_hold_after_miss_or_high_rpe,none
U902-wk07-LOWER-01,U902,2026-06-14,LOWER,progression,female,intermediate,137.8,10.0,hack_squat,130.0,4,8,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U902-wk07-UPPER-02,U902,2026-06-16,UPPER,progression,female,intermediate,138.5,1.25,bench,96.25,4,6,8.0,hold,,,conservative_hold_after_miss_or_high_rpe,none
U902-wk07-UPPER-02,U902,2026-06-16,UPPER,progression,female,intermediate,138.5,1.25,ohp,96.25,3,6,8.0,hold,high,0.834,conservative_hold_until_easy_success_margin,none
U902-wk07-UPPER-02,U902,2026-06-16,UPPER,progression,female,intermediate,138.5,1.25,lateral_raise,13.75,3,13,7.5,hold,,,isolation_double_progression_add_rep_first,none
U902-wk07-LOWER-03,U902,2026-06-18,LOWER,progression,female,intermediate,137.4,10.0,hack_squat,120.0,4,8,7.0,deload,,,planned_deload_10pct_load_1set_cut,deload
U903-cut-wk00-UPPER-00,U903,2026-05-10,UPPER,progression,male,intermediate,197.9,2.5,bench,205.0,4,5,8.0,hold,base,1.209,conservative_hold_until_easy_success_margin,none
U903-cut-wk00-UPPER-00,U903,2026-05-10,UPPER,progression,male,intermediate,197.9,2.5,triceps_pressdown,65.0,3,14,7.5,hold,,,isolation_double_progression_add_rep_first,none
U903-cut-wk00-LOWER-01,U903,2026-05-12,LOWER,progression,male,intermediate,197.9,2.5,squat,275.0,3,5,8.0,hold,,,conservative_hold_until_easy_success_margin,none
U903-cut-wk00-LOWER-01,U903,2026-05-12,LOWER,progression,male,intermediate,197.9,2.5,hack_squat,360.0,3,8,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U903-cut-wk00-UPPER-02,U903,2026-05-14,UPPER,progression,male,intermediate,197.9,2.5,bench,205.0,4,5,8.0,hold,base,1.209,conservative_hold_until_easy_success_margin,none
U903-cut-wk00-UPPER-02,U903,2026-05-14,UPPER,progression,male,intermediate,197.9,2.5,triceps_pressdown,65.0,3,12,7.5,hold,,,conservative_hold_after_miss_or_high_rpe,none
U903-cut-wk00-LOWER-03,U903,2026-05-16,LOWER,progression,male,intermediate,197.9,2.5,squat,275.0,3,5,8.0,hold,,,conservative_hold_until_easy_success_margin,none
U903-cut-wk00-LOWER-03,U903,2026-05-16,LOWER,progression,male,intermediate,197.9,2.5,hack_squat,360.0,3,8,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U903-cut-wk01-UPPER-00,U903,2026-05-19,UPPER,progression,male,intermediate,196.7,2.5,bench,205.0,4,5,8.0,hold,base,1.216,conservative_hold_until_easy_success_margin,none
U903-cut-wk01-UPPER-00,U903,2026-05-19,UPPER,progression,male,intermediate,196.7,2.5,triceps_pressdown,65.0,3,13,7.5,hold,,,isolation_double_progression_add_rep_first,none
U903-cut-wk01-LOWER-01,U903,2026-05-21,LOWER,progression,male,intermediate,196.7,2.5,squat,275.0,3,5,8.0,hold,,,conservative_hold_until_easy_success_margin,none
U903-cut-wk01-LOWER-01,U903,2026-05-21,LOWER,progression,male,intermediate,196.7,2.5,hack_squat,360.0,3,8,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U903-cut-wk01-UPPER-02,U903,2026-05-23,UPPER,progression,male,intermediate,196.7,2.5,bench,205.0,4,5,8.0,hold,base,1.216,conservative_hold_until_easy_success_margin,none
U903-cut-wk01-UPPER-02,U903,2026-05-23,UPPER,progression,male,intermediate,196.7,2.5,triceps_pressdown,65.0,3,12,7.5,hold,,,conservative_hold_after_miss_or_high_rpe,none
U903-cut-wk01-LOWER-03,U903,2026-05-25,LOWER,progression,male,intermediate,196.7,2.5,squat,275.0,3,5,8.0,hold,,,conservative_hold_after_miss_or_high_rpe,none
U903-cut-wk01-LOWER-03,U903,2026-05-25,LOWER,progression,male,intermediate,196.7,2.5,hack_squat,360.0,3,8,7.5,hold,,,conservative_hold_until_easy_success_margin,none
U903-cut-wk02-UPPER-00,U903,2026-05-28,UPPER,progression,male,intermediate,195.8,2.5,bench,205.0,4,5,8.0,hold,base,1.221,conservative_hold_until_easy_success_margin,none
U903-cut-wk02-UPPER-00,U903,2026-05-28,UPPER,progression,male,intermediate,195.8,2.5,triceps_pressdown,65.0,3,13,7.5,hold,,,isolation_double_progression_add_rep_first,none
U903-cut-wk02-LOWER-01,U903,2026-05-30,LOWER,progression,male,intermediate,195.8,2.5,squat,260.0,3,5,8.0,decrease_small,,,readiness_low_cut_5pct_conservative,readinessCut
U903-cut-wk02-LOWER-01,U903,2026-05-30,LOWER,progression,male,intermediate,195.8,2.5,hack_squat,342.5,3,8,7.5,decrease_small,,,readiness_low_cut_5pct_conservative,readinessCut
U903-cut-wk02-UPPER-02,U903,2026-06-01,UPPER,progression,male,intermediate,195.8,2.5,bench,205.0,4,5,8.0,hold,base,1.221,conservative_hold_until_easy_success_margin,none
U903-cut-wk02-UPPER-02,U903,2026-06-01,UPPER,progression,male,intermediate,195.8,2.5,triceps_pressdown,65.0,3,12,7.5,hold,,,conservative_hold_after_miss_or_high_rpe,none
U903-cut-wk02-LOWER-03,U903,2026-06-03,LOWER,progression,male,intermediate,195.8,2.5,squat,247.5,3,5,8.0,decrease_small,,,readiness_low_cut_5pct_conservative,readinessCut
U903-cut-wk02-LOWER-03,U903,2026-06-03,LOWER,progression,male,intermediate,195.8,2.5,hack_squat,325.0,3,8,7.5,decrease_small,,,readiness_low_cut_5pct_conservative,readinessCut
U903-cut-wk03-UPPER-00,U903,2026-06-06,UPPER,progression,male,intermediate,195.5,2.5,bench,205.0,4,5,8.0,hold,base,1.223,conservative_hold_until_easy_success_margin,none
U903-cut-wk03-UPPER-00,U903,2026-06-06,UPPER,progression,male,intermediate,195.5,2.5,triceps_pressdown,65.0,3,13,7.5,hold,,,isolation_double_progression_add_rep_first,none
U903-cut-wk03-LOWER-01,U903,2026-06-08,LOWER,progression,male,intermediate,195.5,2.5,squat,235.0,3,5,8.0,decrease_small,,,readiness_low_cut_5pct_conservative,readinessCut
U903-cut-wk03-LOWER-01,U903,2026-06-08,LOWER,progression,male,intermediate,195.5,2.5,hack_squat,310.0,3,8,7.5,decrease_small,,,readiness_low_cut_5pct_conservative,readinessCut
U903-cut-wk03-UPPER-02,U903,2026-06-10,UPPER,progression,male,intermediate,195.5,2.5,bench,205.0,4,5,8.0,hold,base,1.223,conservative_hold_until_easy_success_margin,none
U903-cut-wk03-UPPER-02,U903,2026-06-10,UPPER,progression,male,intermediate,195.5,2.5,triceps_pressdown,65.0,3,14,7.5,hold,,,isolation_double_progression_add_rep_first,none
